level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
0,M01412,Laser Head Kit,1.00,,,True
1,M01061,LSR - Laser Kit PLH3D-XT-50,1.00,M01412,Laser Head Kit,False
1,M01639,LSR - Steel Parts - Docking Pro Interface Plate,1.00,M01412,Laser Head Kit,False
1,M01640,LSR-Docking-Pro-Screw Bag,1.00,M01412,Laser Head Kit,True
2,M01748,DIN912 M6x25 Black screw,2.00,M01640,LSR-Docking-Pro-Screw Bag,False
2,M00451,DIN912 M6x20 Black screw,1.00,M01640,LSR-Docking-Pro-Screw Bag,False
2,M01731,DIN912 M5x20 Black screw,2.00,M01640,LSR-Docking-Pro-Screw Bag,False
2,M01697,DIN912 M4x12 Black screw,2.00,M01640,LSR-Docking-Pro-Screw Bag,False
2,M00554,I-Type Sliding Nut M4,2.00,M01640,LSR-Docking-Pro-Screw Bag,False
2,M01693,ISO 7380 M3x10 Black Screw,1.00,M01640,LSR-Docking-Pro-Screw Bag,False
2,M01703,Nut DIN934 M3,1.00,M01640,LSR-Docking-Pro-Screw Bag,False
2,M00389,Cable Tie 100mm x 2.5 mm,3.00,M01640,LSR-Docking-Pro-Screw Bag,False
2,M00023,Allen Key 2mm,1.00,M01640,LSR-Docking-Pro-Screw Bag,False
